Index,Name,Full_Name,Intensity,Space,Hemi,Region,R,A,S
109,Cerebelum_9_L,Cerebelum_9_L,109,MNI,L,cerebellum,-10,-50,-47
110,Cerebelum_9_R,Cerebelum_9_R,110,MNI,R,cerebellum,10,-50,-47
111,Cerebelum_10_L,Cerebelum_10_L,111,MNI,L,cerebellum,-21,-35,-43
112,Cerebelum_10_R,Cerebelum_10_R,112,MNI,R,cerebellum,26,-35,-42
113,Vermis_1_2,Vermis_1_2,113,MNI,NULL,cerebellum,-2,-40,-21
114,Vermis_3,Vermis_3,114,MNI,NULL,cerebellum,-2,-41,-13
115,Vermis_4_5,Vermis_4_5,115,MNI,NULL,cerebellum,-2,-53,-7
116,Vermis_6,Vermis_6,116,MNI,NULL,cerebellum,-2,-68,-16
117,Vermis_7,Vermis_7,117,MNI,NULL,cerebellum,-2,-71,-26
118,Vermis_8,Vermis_8,118,MNI,NULL,cerebellum,-2,-65,-34
119,Vermis_9,Vermis_9,119,MNI,NULL,cerebellum,-2,-56,-35
120,Vermis_10,Vermis_10,120,MNI,NULL,cerebellum,-2,-46,-33
