Index,Name,Full_Name,Intensity,Space,Hemi,Region
44,ctx_lh_S_calcarine,ctx_lh_S_calcarine,44,T1w,L,cortex
45,ctx_lh_S_central,ctx_lh_S_central,45,T1w,L,cortex
46,ctx_lh_S_cingul-Marginalis,ctx_lh_S_cingul-Marginalis,46,T1w,L,cortex
47,ctx_lh_S_circular_insula_ant,ctx_lh_S_circular_insula_ant,47,T1w,L,cortex
48,ctx_lh_S_circular_insula_inf,ctx_lh_S_circular_insula_inf,48,T1w,L,cortex
49,ctx_lh_S_circular_insula_sup,ctx_lh_S_circular_insula_sup,49,T1w,L,cortex
50,ctx_lh_S_collat_transv_ant,ctx_lh_S_collat_transv_ant,50,T1w,L,cortex
51,ctx_lh_S_collat_transv_post,ctx_lh_S_collat_transv_post,51,T1w,L,cortex
52,ctx_lh_S_front_inf,ctx_lh_S_front_inf,52,T1w,L,cortex
53,ctx_lh_S_front_middle,ctx_lh_S_front_middle,53,T1w,L,cortex
54,ctx_lh_S_front_sup,ctx_lh_S_front_sup,54,T1w,L,cortex
55,ctx_lh_S_interm_prim-Jensen,ctx_lh_S_interm_prim-Jensen,55,T1w,L,cortex
56,ctx_lh_S_intrapariet_and_P_trans,ctx_lh_S_intrapariet_and_P_trans,56,T1w,L,cortex
57,ctx_lh_S_oc_middle_and_Lunatus,ctx_lh_S_oc_middle_and_Lunatus,57,T1w,L,cortex
58,ctx_lh_S_oc_sup_and_transversal,ctx_lh_S_oc_sup_and_transversal,58,T1w,L,cortex
59,ctx_lh_S_occipital_ant,ctx_lh_S_occipital_ant,59,T1w,L,cortex
60,ctx_lh_S_oc-temp_lat,ctx_lh_S_oc-temp_lat,60,T1w,L,cortex
61,ctx_lh_S_oc-temp_med_and_Lingual,ctx_lh_S_oc-temp_med_and_Lingual,61,T1w,L,cortex
62,ctx_lh_S_orbital_lateral,ctx_lh_S_orbital_lateral,62,T1w,L,cortex
63,ctx_lh_S_orbital_med-olfact,ctx_lh_S_orbital_med-olfact,63,T1w,L,cortex
64,ctx_lh_S_orbital-H_Shaped,ctx_lh_S_orbital-H_Shaped,64,T1w,L,cortex
65,ctx_lh_S_parieto_occipital,ctx_lh_S_parieto_occipital,65,T1w,L,cortex
66,ctx_lh_S_pericallosal,ctx_lh_S_pericallosal,66,T1w,L,cortex
67,ctx_lh_S_postcentral,ctx_lh_S_postcentral,67,T1w,L,cortex
68,ctx_lh_S_precentral-inf-part,ctx_lh_S_precentral-inf-part,68,T1w,L,cortex
69,ctx_lh_S_precentral-sup-part,ctx_lh_S_precentral-sup-part,69,T1w,L,cortex
70,ctx_lh_S_suborbital,ctx_lh_S_suborbital,70,T1w,L,cortex
71,ctx_lh_S_subparietal,ctx_lh_S_subparietal,71,T1w,L,cortex
72,ctx_lh_S_temporal_inf,ctx_lh_S_temporal_inf,72,T1w,L,cortex
73,ctx_lh_S_temporal_sup,ctx_lh_S_temporal_sup,73,T1w,L,cortex
74,ctx_lh_S_temporal_transverse,ctx_lh_S_temporal_transverse,74,T1w,L,cortex
75,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,75,T1w,L,cerebellum
76,Left-Thalamus-Proper,Left-Thalamus-Proper,76,T1w,L,subcortex
77,Left-Caudate,Left-Caudate,77,T1w,L,subcortex
78,Left-Putamen,Left-Putamen,78,T1w,L,subcortex
79,Left-Pallidum,Left-Pallidum,79,T1w,L,subcortex
80,Left-Hippocampus,Left-Hippocampus,80,T1w,L,subcortex
81,Left-Amygdala,Left-Amygdala,81,T1w,L,subcortex
82,Left-Accumbens-area,Left-Accumbens-area,82,T1w,L,subcortex
83,Right-Thalamus-Proper,Right-Thalamus-Proper,83,T1w,R,subcortex
84,Right-Caudate,Right-Caudate,84,T1w,R,subcortex
85,Right-Putamen,Right-Putamen,85,T1w,R,subcortex
86,Right-Pallidum,Right-Pallidum,86,T1w,R,subcortex
87,Right-Hippocampus,Right-Hippocampus,87,T1w,R,subcortex
88,Right-Amygdala,Right-Amygdala,88,T1w,R,subcortex
89,Right-Accumbens-area,Right-Accumbens-area,89,T1w,R,subcortex
90,ctx_rh_G_and_S_frontomargin,ctx_rh_G_and_S_frontomargin,90,T1w,R,cortex
91,ctx_rh_G_and_S_occipital_inf,ctx_rh_G_and_S_occipital_inf,91,T1w,R,cortex
92,ctx_rh_G_and_S_paracentral,ctx_rh_G_and_S_paracentral,92,T1w,R,cortex
93,ctx_rh_G_and_S_subcentral,ctx_rh_G_and_S_subcentral,93,T1w,R,cortex
94,ctx_rh_G_and_S_transv_frontopol,ctx_rh_G_and_S_transv_frontopol,94,T1w,R,cortex
95,ctx_rh_G_and_S_cingul-Ant,ctx_rh_G_and_S_cingul-Ant,95,T1w,R,cortex
96,ctx_rh_G_and_S_cingul-Mid-Ant,ctx_rh_G_and_S_cingul-Mid-Ant,96,T1w,R,cortex
97,ctx_rh_G_and_S_cingul-Mid-Post,ctx_rh_G_and_S_cingul-Mid-Post,97,T1w,R,cortex
98,ctx_rh_G_cingul-Post-dorsal,ctx_rh_G_cingul-Post-dorsal,98,T1w,R,cortex
99,ctx_rh_G_cingul-Post-ventral,ctx_rh_G_cingul-Post-ventral,99,T1w,R,cortex
100,ctx_rh_G_cuneus,ctx_rh_G_cuneus,100,T1w,R,cortex
101,ctx_rh_G_front_inf-Opercular,ctx_rh_G_front_inf-Opercular,101,T1w,R,cortex
102,ctx_rh_G_front_inf-Orbital,ctx_rh_G_front_inf-Orbital,102,T1w,R,cortex
103,ctx_rh_G_front_inf-Triangul,ctx_rh_G_front_inf-Triangul,103,T1w,R,cortex
104,ctx_rh_G_front_middle,ctx_rh_G_front_middle,104,T1w,R,cortex
105,ctx_rh_G_front_sup,ctx_rh_G_front_sup,105,T1w,R,cortex
106,ctx_rh_G_Ins_lg_and_S_cent_ins,ctx_rh_G_Ins_lg_and_S_cent_ins,106,T1w,R,cortex
107,ctx_rh_G_insular_short,ctx_rh_G_insular_short,107,T1w,R,cortex
108,ctx_rh_G_occipital_middle,ctx_rh_G_occipital_middle,108,T1w,R,cortex
109,ctx_rh_G_occipital_sup,ctx_rh_G_occipital_sup,109,T1w,R,cortex
110,ctx_rh_G_oc-temp_lat-fusifor,ctx_rh_G_oc-temp_lat-fusifor,110,T1w,R,cortex
111,ctx_rh_G_oc-temp_med-Lingual,ctx_rh_G_oc-temp_med-Lingual,111,T1w,R,cortex
112,ctx_rh_G_oc-temp_med-Parahip,ctx_rh_G_oc-temp_med-Parahip,112,T1w,R,cortex
113,ctx_rh_G_orbital,ctx_rh_G_orbital,113,T1w,R,cortex
114,ctx_rh_G_pariet_inf-Angular,ctx_rh_G_pariet_inf-Angular,114,T1w,R,cortex
115,ctx_rh_G_pariet_inf-Supramar,ctx_rh_G_pariet_inf-Supramar,115,T1w,R,cortex
116,ctx_rh_G_parietal_sup,ctx_rh_G_parietal_sup,116,T1w,R,cortex
117,ctx_rh_G_postcentral,ctx_rh_G_postcentral,117,T1w,R,cortex
118,ctx_rh_G_precentral,ctx_rh_G_precentral,118,T1w,R,cortex
119,ctx_rh_G_precuneus,ctx_rh_G_precuneus,119,T1w,R,cortex
120,ctx_rh_G_rectus,ctx_rh_G_rectus,120,T1w,R,cortex
121,ctx_rh_G_subcallosal,ctx_rh_G_subcallosal,121,T1w,R,cortex
122,ctx_rh_G_temp_sup-G_T_transv,ctx_rh_G_temp_sup-G_T_transv,122,T1w,R,cortex
123,ctx_rh_G_temp_sup-Lateral,ctx_rh_G_temp_sup-Lateral,123,T1w,R,cortex
124,ctx_rh_G_temp_sup-Plan_polar,ctx_rh_G_temp_sup-Plan_polar,124,T1w,R,cortex
125,ctx_rh_G_temp_sup-Plan_tempo,ctx_rh_G_temp_sup-Plan_tempo,125,T1w,R,cortex
126,ctx_rh_G_temporal_inf,ctx_rh_G_temporal_inf,126,T1w,R,cortex
127,ctx_rh_G_temporal_middle,ctx_rh_G_temporal_middle,127,T1w,R,cortex
128,ctx_rh_Lat_Fis-ant-Horizont,ctx_rh_Lat_Fis-ant-Horizont,128,T1w,R,cortex
129,ctx_rh_Lat_Fis-ant-Vertical,ctx_rh_Lat_Fis-ant-Vertical,129,T1w,R,cortex
130,ctx_rh_Lat_Fis-post,ctx_rh_Lat_Fis-post,130,T1w,R,cortex
131,ctx_rh_Pole_occipital,ctx_rh_Pole_occipital,131,T1w,R,cortex
132,ctx_rh_Pole_temporal,ctx_rh_Pole_temporal,132,T1w,R,cortex
133,ctx_rh_S_calcarine,ctx_rh_S_calcarine,133,T1w,R,cortex
134,ctx_rh_S_central,ctx_rh_S_central,134,T1w,R,cortex
135,ctx_rh_S_cingul-Marginalis,ctx_rh_S_cingul-Marginalis,135,T1w,R,cortex
136,ctx_rh_S_circular_insula_ant,ctx_rh_S_circular_insula_ant,136,T1w,R,cortex
137,ctx_rh_S_circular_insula_inf,ctx_rh_S_circular_insula_inf,137,T1w,R,cortex
138,ctx_rh_S_circular_insula_sup,ctx_rh_S_circular_insula_sup,138,T1w,R,cortex
139,ctx_rh_S_collat_transv_ant,ctx_rh_S_collat_transv_ant,139,T1w,R,cortex
140,ctx_rh_S_collat_transv_post,ctx_rh_S_collat_transv_post,140,T1w,R,cortex
141,ctx_rh_S_front_inf,ctx_rh_S_front_inf,141,T1w,R,cortex
142,ctx_rh_S_front_middle,ctx_rh_S_front_middle,142,T1w,R,cortex
143,ctx_rh_S_front_sup,ctx_rh_S_front_sup,143,T1w,R,cortex
144,ctx_rh_S_interm_prim-Jensen,ctx_rh_S_interm_prim-Jensen,144,T1w,R,cortex
145,ctx_rh_S_intrapariet_and_P_trans,ctx_rh_S_intrapariet_and_P_trans,145,T1w,R,cortex
146,ctx_rh_S_oc_middle_and_Lunatus,ctx_rh_S_oc_middle_and_Lunatus,146,T1w,R,cortex
147,ctx_rh_S_oc_sup_and_transversal,ctx_rh_S_oc_sup_and_transversal,147,T1w,R,cortex
148,ctx_rh_S_occipital_ant,ctx_rh_S_occipital_ant,148,T1w,R,cortex
149,ctx_rh_S_oc-temp_lat,ctx_rh_S_oc-temp_lat,149,T1w,R,cortex
150,ctx_rh_S_oc-temp_med_and_Lingual,ctx_rh_S_oc-temp_med_and_Lingual,150,T1w,R,cortex
151,ctx_rh_S_orbital_lateral,ctx_rh_S_orbital_lateral,151,T1w,R,cortex
152,ctx_rh_S_orbital_med-olfact,ctx_rh_S_orbital_med-olfact,152,T1w,R,cortex
153,ctx_rh_S_orbital-H_Shaped,ctx_rh_S_orbital-H_Shaped,153,T1w,R,cortex
154,ctx_rh_S_parieto_occipital,ctx_rh_S_parieto_occipital,154,T1w,R,cortex
155,ctx_rh_S_pericallosal,ctx_rh_S_pericallosal,155,T1w,R,cortex
156,ctx_rh_S_postcentral,ctx_rh_S_postcentral,156,T1w,R,cortex
157,ctx_rh_S_precentral-inf-part,ctx_rh_S_precentral-inf-part,157,T1w,R,cortex
158,ctx_rh_S_precentral-sup-part,ctx_rh_S_precentral-sup-part,158,T1w,R,cortex
159,ctx_rh_S_suborbital,ctx_rh_S_suborbital,159,T1w,R,cortex
160,ctx_rh_S_subparietal,ctx_rh_S_subparietal,160,T1w,R,cortex
161,ctx_rh_S_temporal_inf,ctx_rh_S_temporal_inf,161,T1w,R,cortex
162,ctx_rh_S_temporal_sup,ctx_rh_S_temporal_sup,162,T1w,R,cortex
163,ctx_rh_S_temporal_transverse,ctx_rh_S_temporal_transverse,163,T1w,R,cortex
164,Right-Cerebellum-Cortex,Right-Cerebellum-Cortex,164,T1w,R,cerebellum
